Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1484714106,2017-01-18T04:35:06Z,BAW32,"51.474735,-0.440641",0,29,180
1484714100,2017-01-18T04:35:00Z,BAW32,"51.475067,-0.440655",0,26,177
1484714094,2017-01-18T04:34:54Z,BAW32,"51.475353,-0.440622",0,24,165
1484714085,2017-01-18T04:34:45Z,BAW32,"51.475742,-0.440693",0,24,118
1484714079,2017-01-18T04:34:39Z,BAW32,"51.475895,-0.440998",0,22,95
1484714073,2017-01-18T04:34:33Z,BAW32,"51.475891,-0.441383",0,22,106
1484714064,2017-01-18T04:34:24Z,BAW32,"51.475929,-0.441971",0,22,140
1484714058,2017-01-18T04:34:18Z,BAW32,"51.476086,-0.442237",0,21,154
1484714037,2017-01-18T04:33:57Z,BAW32,"51.476742,-0.443058",0,30,115
1484714028,2017-01-18T04:33:48Z,BAW32,"51.477024,-0.444055",0,21,112
1484714022,2017-01-18T04:33:42Z,BAW32,"51.477268,-0.444927",0,20,109
1484714016,2017-01-18T04:33:36Z,BAW32,"51.477459,-0.4458",0,20,104
1484714010,2017-01-18T04:33:30Z,BAW32,"51.477592,-0.446777",0,26,95
1484714004,2017-01-18T04:33:24Z,BAW32,"51.477631,-0.448287",0,41,90
1484713998,2017-01-18T04:33:18Z,BAW32,"51.477608,-0.450532",0,60,90
1484713989,2017-01-18T04:33:09Z,BAW32,"51.477592,-0.455074",0,78,90
1484713980,2017-01-18T04:33:00Z,BAW32,"51.477573,-0.460869",0,92,90
1484713974,2017-01-18T04:32:54Z,BAW32,"51.477558,-0.465851",0,105,89
1484713968,2017-01-18T04:32:48Z,BAW32,"51.477493,-0.470705",0,117,89
1484713946,2017-01-18T04:32:26Z,BAW32,"51.477459,-0.49217",0,129,90
1484713923,2017-01-18T04:32:03Z,BAW32,"51.47731,-0.516506",0,132,90
1484713912,2017-01-18T04:31:52Z,BAW32,"51.47731,-0.524968",0,132,90
1484713892,2017-01-18T04:31:32Z,BAW32,"51.477261,-0.54471",250,133,90
1484713882,2017-01-18T04:31:22Z,BAW32,"51.477219,-0.55459",375,134,89
1484713872,2017-01-18T04:31:12Z,BAW32,"51.477169,-0.56453",500,134,89
1484713862,2017-01-18T04:31:02Z,BAW32,"51.477139,-0.57465",625,134,89
1484713852,2017-01-18T04:30:52Z,BAW32,"51.477089,-0.58411",750,135,89
1484713842,2017-01-18T04:30:42Z,BAW32,"51.477039,-0.594",875,140,89
1484713832,2017-01-18T04:30:32Z,BAW32,"51.47699,-0.60425",1000,147,89
1484713817,2017-01-18T04:30:17Z,BAW32,"51.476898,-0.62154",1225,159,89
1484713807,2017-01-18T04:30:07Z,BAW32,"51.476849,-0.63335",1375,160,89
1484713797,2017-01-18T04:29:57Z,BAW32,"51.476761,-0.64582",1550,159,89
1484713773,2017-01-18T04:29:33Z,BAW32,"51.476673,-0.674591",1925,159,90
1484713762,2017-01-18T04:29:22Z,BAW32,"51.476582,-0.68724",2075,159,89
1484713752,2017-01-18T04:29:12Z,BAW32,"51.47649,-0.70007",2250,159,89
1484713742,2017-01-18T04:29:02Z,BAW32,"51.47644,-0.7107",2375,160,89
1484713731,2017-01-18T04:28:51Z,BAW32,"51.476391,-0.72174",2525,160,89
1484713722,2017-01-18T04:28:42Z,BAW32,"51.476299,-0.73386",2675,161,89
1484713713,2017-01-18T04:28:33Z,BAW32,"51.476212,-0.74615",2850,164,89
1484713707,2017-01-18T04:28:27Z,BAW32,"51.47617,-0.75204",2925,166,89
1484713697,2017-01-18T04:28:17Z,BAW32,"51.47607,-0.76424",3075,169,89
1484713690,2017-01-18T04:28:10Z,BAW32,"51.476021,-0.77576",3225,174,89
1484713680,2017-01-18T04:28:00Z,BAW32,"51.475979,-0.78641",3350,179,89
1484713660,2017-01-18T04:27:40Z,BAW32,"51.475845,-0.811578",3675,182,90
1484713654,2017-01-18T04:27:34Z,BAW32,"51.475834,-0.819855",3800,182,89
1484713648,2017-01-18T04:27:28Z,BAW32,"51.4758,-0.82776",3900,182,89
1484713642,2017-01-18T04:27:22Z,BAW32,"51.475697,-0.836258",4000,181,89
1484713636,2017-01-18T04:27:16Z,BAW32,"51.475601,-0.844421",4125,181,89
1484713630,2017-01-18T04:27:10Z,BAW32,"51.475525,-0.852109",4200,180,89
1484713624,2017-01-18T04:27:04Z,BAW32,"51.475418,-0.860443",4325,179,89
1484713618,2017-01-18T04:26:58Z,BAW32,"51.475342,-0.868068",4400,180,89
1484713612,2017-01-18T04:26:52Z,BAW32,"51.475323,-0.876541",4525,181,90
1484713606,2017-01-18T04:26:46Z,BAW32,"51.475342,-0.884548",4600,180,90
1484713600,2017-01-18T04:26:40Z,BAW32,"51.475433,-0.892565",4675,177,90
1484713594,2017-01-18T04:26:34Z,BAW32,"51.47551,-0.900497",4700,178,91
1484713585,2017-01-18T04:26:25Z,BAW32,"51.475616,-0.912385",4750,178,90
1484713579,2017-01-18T04:26:19Z,BAW32,"51.475708,-0.920402",4775,178,90
1484713573,2017-01-18T04:26:13Z,BAW32,"51.475708,-0.927677",4800,178,90
1484713567,2017-01-18T04:26:07Z,BAW32,"51.475834,-0.935669",4850,179,92
1484713561,2017-01-18T04:26:01Z,BAW32,"51.476166,-0.943562",4875,180,97
1484713555,2017-01-18T04:25:55Z,BAW32,"51.477184,-0.951614",4900,181,107
1484713549,2017-01-18T04:25:49Z,BAW32,"51.479279,-0.959299",4925,182,120
1484713543,2017-01-18T04:25:43Z,BAW32,"51.481979,-0.965576",4975,182,127
1484713537,2017-01-18T04:25:37Z,BAW32,"51.485138,-0.972142",5000,182,127
1484713531,2017-01-18T04:25:31Z,BAW32,"51.488312,-0.978622",5025,183,128
1484713525,2017-01-18T04:25:25Z,BAW32,"51.491592,-0.984835",5050,184,132
1484713519,2017-01-18T04:25:19Z,BAW32,"51.495247,-0.990601",5075,187,140
1484713513,2017-01-18T04:25:13Z,BAW32,"51.499485,-0.995255",5100,192,153
1484713507,2017-01-18T04:25:07Z,BAW32,"51.504639,-0.998123",5125,196,169
1484713501,2017-01-18T04:25:01Z,BAW32,"51.510086,-0.998717",5150,200,184
1484713495,2017-01-18T04:24:55Z,BAW32,"51.51622,-0.996861",5175,203,197
1484713489,2017-01-18T04:24:49Z,BAW32,"51.521084,-0.993652",5200,205,209
1484713483,2017-01-18T04:24:43Z,BAW32,"51.525646,-0.988235",5225,207,224
1484713476,2017-01-18T04:24:36Z,BAW32,"51.529232,-0.980988",5300,209,238
1484713464,2017-01-18T04:24:24Z,BAW32,"51.533569,-0.963308",5325,208,252
1484713452,2017-01-18T04:24:12Z,BAW32,"51.536911,-0.945587",5325,208,253
1484713440,2017-01-18T04:24:00Z,BAW32,"51.540298,-0.927899",5325,209,253
1484713428,2017-01-18T04:23:48Z,BAW32,"51.543732,-0.909861",5325,208,253
1484713416,2017-01-18T04:23:36Z,BAW32,"51.547108,-0.892258",5350,208,253
1484713404,2017-01-18T04:23:24Z,BAW32,"51.550507,-0.874304",5350,210,253
1484713392,2017-01-18T04:23:12Z,BAW32,"51.55394,-0.856191",5300,220,253
1484713380,2017-01-18T04:23:00Z,BAW32,"51.557556,-0.836817",5325,232,253
1484713368,2017-01-18T04:22:48Z,BAW32,"51.56131,-0.816626",5325,243,253
1484713356,2017-01-18T04:22:36Z,BAW32,"51.565247,-0.795247",5325,252,253
1484713344,2017-01-18T04:22:24Z,BAW32,"51.569229,-0.773571",5375,252,253
1484713332,2017-01-18T04:22:12Z,BAW32,"51.573269,-0.752029",5475,253,252
1484713320,2017-01-18T04:22:00Z,BAW32,"51.577457,-0.730133",5575,253,252
1484713308,2017-01-18T04:21:48Z,BAW32,"51.581497,-0.709212",5675,253,252
1484713296,2017-01-18T04:21:36Z,BAW32,"51.585846,-0.686868",5775,254,252
1484713284,2017-01-18T04:21:24Z,BAW32,"51.58989,-0.665665",5875,256,252
1484713272,2017-01-18T04:21:12Z,BAW32,"51.594219,-0.642929",5975,258,253
1484713260,2017-01-18T04:21:00Z,BAW32,"51.598389,-0.620876",6075,259,253
1484713248,2017-01-18T04:20:48Z,BAW32,"51.602551,-0.598755",6175,260,252
1484713235,2017-01-18T04:20:35Z,BAW32,"51.606812,-0.576337",6275,259,252
1484713223,2017-01-18T04:20:23Z,BAW32,"51.610977,-0.554513",6400,259,252
1484713211,2017-01-18T04:20:11Z,BAW32,"51.615166,-0.532837",6525,259,252
1484713199,2017-01-18T04:19:59Z,BAW32,"51.619495,-0.510559",6650,260,252
1484713187,2017-01-18T04:19:47Z,BAW32,"51.623779,-0.48851",6750,261,252
1484713175,2017-01-18T04:19:35Z,BAW32,"51.628326,-0.465286",6875,262,252
1484713160,2017-01-18T04:19:20Z,BAW32,"51.633881,-0.437393",7025,261,251
1484713154,2017-01-18T04:19:14Z,BAW32,"51.636108,-0.426463",7100,262,251
1484713148,2017-01-18T04:19:08Z,BAW32,"51.638302,-0.415726",7150,262,252
1484713142,2017-01-18T04:19:02Z,BAW32,"51.640503,-0.40397",7225,262,254
1484713136,2017-01-18T04:18:56Z,BAW32,"51.642059,-0.39291",7300,260,260
1484713130,2017-01-18T04:18:50Z,BAW32,"51.64291,-0.381393",7400,260,267
1484713118,2017-01-18T04:18:38Z,BAW32,"51.642929,-0.358169",7500,261,270
1484713106,2017-01-18T04:18:26Z,BAW32,"51.642746,-0.334192",7600,262,270
1484713094,2017-01-18T04:18:14Z,BAW32,"51.642609,-0.311329",7725,264,270
1484713082,2017-01-18T04:18:02Z,BAW32,"51.642445,-0.287476",7875,268,270
1484713070,2017-01-18T04:17:50Z,BAW32,"51.642307,-0.262756",8050,269,270
1484713058,2017-01-18T04:17:38Z,BAW32,"51.64212,-0.238647",8200,269,270
1484713046,2017-01-18T04:17:26Z,BAW32,"51.641933,-0.215225",8350,269,270
1484713034,2017-01-18T04:17:14Z,BAW32,"51.641739,-0.19085",8525,268,270
1484713022,2017-01-18T04:17:02Z,BAW32,"51.64156,-0.167084",8675,268,270
1484713010,2017-01-18T04:16:50Z,BAW32,"51.641327,-0.143565",8825,269,270
1484712998,2017-01-18T04:16:38Z,BAW32,"51.641094,-0.119553",9000,271,270
1484712986,2017-01-18T04:16:26Z,BAW32,"51.640816,-0.09491",9150,274,271
1484712974,2017-01-18T04:16:14Z,BAW32,"51.640491,-0.069885",9325,277,271
1484712962,2017-01-18T04:16:02Z,BAW32,"51.640091,-0.045133",9475,277,271
1484712950,2017-01-18T04:15:50Z,BAW32,"51.639793,-0.020981",9600,276,271
1484712938,2017-01-18T04:15:38Z,BAW32,"51.639542,0.004454",9800,276,270
1484712926,2017-01-18T04:15:26Z,BAW32,"51.639404,0.028728",10000,277,270
1484712914,2017-01-18T04:15:14Z,BAW32,"51.639328,0.053787",10200,278,270
1484712908,2017-01-18T04:15:08Z,BAW32,"51.639313,0.065918",10300,279,270
1484712902,2017-01-18T04:15:02Z,BAW32,"51.639278,0.078659",10400,280,270
1484712896,2017-01-18T04:14:56Z,BAW32,"51.639313,0.091528",10500,281,268
1484712890,2017-01-18T04:14:50Z,BAW32,"51.639542,0.103182",10600,282,266
1484712878,2017-01-18T04:14:38Z,BAW32,"51.642151,0.129089",10800,287,255
1484712866,2017-01-18T04:14:26Z,BAW32,"51.646542,0.154266",11025,290,254
1484712853,2017-01-18T04:14:13Z,BAW32,"51.650894,0.178825",11275,289,254
1484712841,2017-01-18T04:14:01Z,BAW32,"51.655243,0.203618",11600,288,254
1484712808,2017-01-18T04:13:28Z,BAW32,"51.667397,0.272522",12250,295,254
1484712775,2017-01-18T04:12:55Z,BAW32,"51.679871,0.343323",13025,296,254
1484712742,2017-01-18T04:12:22Z,BAW32,"51.692322,0.414363",14050,311,254
1484712709,2017-01-18T04:11:49Z,BAW32,"51.70578,0.491416",14850,335,254
1484712676,2017-01-18T04:11:16Z,BAW32,"51.719955,0.572815",15975,341,254
1484712643,2017-01-18T04:10:43Z,BAW32,"51.733795,0.653315",17175,348,254
1484712582,2017-01-18T04:09:42Z,BAW32,"51.760254,0.807569",18700,361,254
1484712519,2017-01-18T04:08:39Z,BAW32,"51.788342,0.972672",20525,363,254
1484712456,2017-01-18T04:07:36Z,BAW32,"51.816559,1.1405",22175,372,254
1484712393,2017-01-18T04:06:33Z,BAW32,"51.8456,1.314392",23450,395,254
1484712330,2017-01-18T04:05:30Z,BAW32,"51.876556,1.502151",24750,422,255
1484712269,2017-01-18T04:04:29Z,BAW32,"51.906631,1.68648",26750,424,255
1484712206,2017-01-18T04:03:26Z,BAW32,"51.938187,1.882553",27900,435,255
1484712143,2017-01-18T04:02:23Z,BAW32,"51.970684,2.084813",28975,445,255
1484712079,2017-01-18T04:01:19Z,BAW32,"52.003052,2.294617",30025,461,257
1484712073,2017-01-18T04:01:13Z,BAW32,"52.005692,2.314035",30150,461,257
1484712067,2017-01-18T04:01:07Z,BAW32,"52.008362,2.332001",30225,460,254
1484712061,2017-01-18T04:01:01Z,BAW32,"52.012344,2.353058",30325,460,250
1484712052,2017-01-18T04:00:52Z,BAW32,"52.019394,2.380524",30550,461,244
1484711989,2017-01-18T03:59:49Z,BAW32,"52.086227,2.575378",32150,470,240
1484711926,2017-01-18T03:58:46Z,BAW32,"52.153793,2.771988",33200,483,240
1484711863,2017-01-18T03:57:43Z,BAW32,"52.222393,2.973921",34300,491,241
1484711800,2017-01-18T03:56:40Z,BAW32,"52.291214,3.17749",36925,484,241
1484711737,2017-01-18T03:55:37Z,BAW32,"52.358734,3.378983",38000,484,241
1484711674,2017-01-18T03:54:34Z,BAW32,"52.426247,3.582171",38000,484,241
1484711613,2017-01-18T03:53:33Z,BAW32,"52.489563,3.774414",38000,483,241
1484711550,2017-01-18T03:52:30Z,BAW32,"52.556499,3.979091",38000,483,241
1484711487,2017-01-18T03:51:27Z,BAW32,"52.622509,4.182731",38000,484,242
1484711424,2017-01-18T03:50:24Z,BAW32,"52.688873,4.389038",38000,484,242
1484711361,2017-01-18T03:49:21Z,BAW32,"52.753876,4.592896",38000,483,242
1484711298,2017-01-18T03:48:18Z,BAW32,"52.819054,4.799142",38000,484,242
1484711235,2017-01-18T03:47:15Z,BAW32,"52.884693,5.008667",38000,483,242
1484711174,2017-01-18T03:46:14Z,BAW32,"52.945908,5.20546",38000,482,242
1484711111,2017-01-18T03:45:11Z,BAW32,"53.009995,5.413361",38000,483,243
1484711049,2017-01-18T03:44:09Z,BAW32,"53.073898,5.622635",38000,483,243
1484710985,2017-01-18T03:43:05Z,BAW32,"53.137005,5.830994",38000,482,243
1484710922,2017-01-18T03:42:02Z,BAW32,"53.201481,6.045712",38000,482,243
1484710859,2017-01-18T03:40:59Z,BAW32,"53.262497,6.250828",38000,482,243
1484710798,2017-01-18T03:39:58Z,BAW32,"53.321732,6.451643",38000,482,243
1484710735,2017-01-18T03:38:55Z,BAW32,"53.383453,6.662481",38000,481,244
1484710671,2017-01-18T03:37:51Z,BAW32,"53.446346,6.879542",38000,482,244
1484710610,2017-01-18T03:36:50Z,BAW32,"53.504955,7.083516",38000,482,244
1484710547,2017-01-18T03:35:47Z,BAW32,"53.565491,7.296177",38000,483,244
1484710486,2017-01-18T03:34:46Z,BAW32,"53.62315,7.500592",38000,483,244
1484710423,2017-01-18T03:33:43Z,BAW32,"53.683529,7.716442",38000,483,244
1484710362,2017-01-18T03:32:42Z,BAW32,"53.740879,7.923485",38000,483,245
1484710299,2017-01-18T03:31:39Z,BAW32,"53.800232,8.139535",38000,482,245
1484710238,2017-01-18T03:30:38Z,BAW32,"53.856705,8.347186",38000,482,245
1484710177,2017-01-18T03:29:37Z,BAW32,"53.912704,8.554976",38000,483,245
1484710114,2017-01-18T03:28:34Z,BAW32,"53.970886,8.772661",38000,483,245
1484710051,2017-01-18T03:27:31Z,BAW32,"54.028622,8.991017",38000,484,245
1484709990,2017-01-18T03:26:30Z,BAW32,"54.083458,9.200484",38000,482,246
1484709927,2017-01-18T03:25:27Z,BAW32,"54.140625,9.420695",38000,480,246
1484709864,2017-01-18T03:24:24Z,BAW32,"54.196793,9.639247",38000,480,246
1484709800,2017-01-18T03:23:20Z,BAW32,"54.253609,9.862411",38000,482,246
1484709739,2017-01-18T03:22:19Z,BAW32,"54.307297,10.075513",38000,482,246
1484709676,2017-01-18T03:21:16Z,BAW32,"54.362167,10.295521",38000,480,246
1484709608,2017-01-18T03:20:08Z,BAW32,"54.420918,10.533475",38000,479,247
1484709547,2017-01-18T03:19:07Z,BAW32,"54.472218,10.743298",38000,479,247
1484709484,2017-01-18T03:18:04Z,BAW32,"54.52631,10.967185",38000,480,247
1484709421,2017-01-18T03:17:01Z,BAW32,"54.579575,11.197573",38000,487,245
1484709357,2017-01-18T03:15:57Z,BAW32,"54.639385,11.414545",38000,487,244
1484709294,2017-01-18T03:14:54Z,BAW32,"54.700058,11.635329",38000,485,244
1484709233,2017-01-18T03:13:53Z,BAW32,"54.75737,11.846089",38000,484,244
1484709170,2017-01-18T03:12:50Z,BAW32,"54.817474,12.069047",38000,486,245
1484709107,2017-01-18T03:11:47Z,BAW32,"54.877213,12.293055",38000,484,245
1484709044,2017-01-18T03:10:44Z,BAW32,"54.937275,12.520252",38000,484,245
1484708981,2017-01-18T03:09:41Z,BAW32,"54.993805,12.736466",38000,485,245
1484708918,2017-01-18T03:08:38Z,BAW32,"55.052025,12.961121",38000,485,245
1484708857,2017-01-18T03:07:37Z,BAW32,"55.107655,13.177851",38000,486,246
1484708796,2017-01-18T03:06:36Z,BAW32,"55.162773,13.394914",38000,484,246
1484708733,2017-01-18T03:05:33Z,BAW32,"55.219666,13.621108",38000,483,246
1484708672,2017-01-18T03:04:32Z,BAW32,"55.2738,13.838612",38000,484,246
1484708611,2017-01-18T03:03:31Z,BAW32,"55.327652,14.057088",38000,483,246
1484708550,2017-01-18T03:02:30Z,BAW32,"55.381668,14.278268",38000,483,246
1484708489,2017-01-18T03:01:29Z,BAW32,"55.434219,14.49596",38000,484,247
1484708427,2017-01-18T03:00:27Z,BAW32,"55.488464,14.722762",38000,483,247
1484708366,2017-01-18T02:59:26Z,BAW32,"55.540173,14.941235",38000,482,247
1484708303,2017-01-18T02:58:23Z,BAW32,"55.594124,15.171432",38000,483,247
1484708240,2017-01-18T02:57:20Z,BAW32,"55.647583,15.402249",38000,482,247
1484708179,2017-01-18T02:56:19Z,BAW32,"55.698311,15.623503",38000,480,248
1484708116,2017-01-18T02:55:16Z,BAW32,"55.750587,15.853958",38000,479,248
1484708053,2017-01-18T02:54:13Z,BAW32,"55.802166,16.083984",38000,480,248
1484707990,2017-01-18T02:53:10Z,BAW32,"55.853806,16.316778",38000,481,248
1484707927,2017-01-18T02:52:07Z,BAW32,"55.904526,16.547741",38000,478,248
1484707863,2017-01-18T02:51:03Z,BAW32,"55.955383,16.782282",38000,478,248
1484707800,2017-01-18T02:50:00Z,BAW32,"56.004715,17.012329",38000,478,249
1484707737,2017-01-18T02:48:57Z,BAW32,"56.054672,17.247953",38000,478,249
1484707674,2017-01-18T02:47:54Z,BAW32,"56.103359,17.480192",38000,477,249
1484707613,2017-01-18T02:46:53Z,BAW32,"56.149475,17.702553",38000,478,249
1484707552,2017-01-18T02:45:52Z,BAW32,"56.195812,17.928915",38000,480,249
1484707489,2017-01-18T02:44:49Z,BAW32,"56.244324,18.166975",38000,479,249
1484707428,2017-01-18T02:43:48Z,BAW32,"56.289047,18.393776",38000,473,252
1484707421,2017-01-18T02:43:41Z,BAW32,"56.293621,18.419523",38000,472,252
1484707415,2017-01-18T02:43:35Z,BAW32,"56.297997,18.443298",38025,474,250
1484707409,2017-01-18T02:43:29Z,BAW32,"56.302734,18.465105",38000,478,246
1484707384,2017-01-18T02:43:04Z,BAW32,"56.330208,18.548183",38000,488,235
1484707321,2017-01-18T02:42:01Z,BAW32,"56.410793,18.759499",38000,488,235
1484707260,2017-01-18T02:41:00Z,BAW32,"56.489136,18.966148",38000,503,235
1484707197,2017-01-18T02:39:57Z,BAW32,"56.571209,19.184961",38000,500,235
1484707134,2017-01-18T02:38:54Z,BAW32,"56.653236,19.405489",38000,498,236
1484707073,2017-01-18T02:37:53Z,BAW32,"56.730606,19.615402",38000,498,236
1484707012,2017-01-18T02:36:52Z,BAW32,"56.807369,19.825626",38000,495,236
1484706951,2017-01-18T02:35:51Z,BAW32,"56.88446,20.038633",38000,495,236
1484706889,2017-01-18T02:34:49Z,BAW32,"56.965088,20.263042",38000,500,236
1484706827,2017-01-18T02:33:47Z,BAW32,"57.041203,20.477364",38000,502,236
1484706766,2017-01-18T02:32:46Z,BAW32,"57.117554,20.694036",38000,499,237
1484706703,2017-01-18T02:31:43Z,BAW32,"57.196289,20.919256",38000,498,237
1484706642,2017-01-18T02:30:42Z,BAW32,"57.27187,21.137873",38025,498,237
1484706581,2017-01-18T02:29:41Z,BAW32,"57.348038,21.359911",38000,498,237
1484706515,2017-01-18T02:28:35Z,BAW32,"57.426422,21.596375",38000,497,239
1484706452,2017-01-18T02:27:32Z,BAW32,"57.506817,21.821062",38000,500,234
1484706391,2017-01-18T02:26:31Z,BAW32,"57.588455,22.032051",38000,502,234
1484706328,2017-01-18T02:25:28Z,BAW32,"57.673874,22.254524",38000,501,234
1484706267,2017-01-18T02:24:27Z,BAW32,"57.754761,22.467218",38000,500,234
1484706204,2017-01-18T02:23:24Z,BAW32,"57.841782,22.693501",38000,501,234
1484706141,2017-01-18T02:22:21Z,BAW32,"57.920883,22.920937",38000,500,237
1484706080,2017-01-18T02:21:20Z,BAW32,"57.997421,23.146067",38000,498,237
1484706017,2017-01-18T02:20:17Z,BAW32,"58.07415,23.374054",38000,500,237
1484705956,2017-01-18T02:19:16Z,BAW32,"58.147614,23.594379",38000,501,237
1484705893,2017-01-18T02:18:13Z,BAW32,"58.225582,23.830444",38000,500,237
1484705830,2017-01-18T02:17:10Z,BAW32,"58.302582,24.065918",38000,499,238
1484705769,2017-01-18T02:16:09Z,BAW32,"58.375111,24.290131",38000,495,238
1484705706,2017-01-18T02:15:06Z,BAW32,"58.450523,24.525238",38000,493,238
1484705645,2017-01-18T02:14:05Z,BAW32,"58.521927,24.75016",38000,496,238
1484705582,2017-01-18T02:13:02Z,BAW32,"58.597092,24.98929",38000,497,239
1484705519,2017-01-18T02:11:59Z,BAW32,"58.671341,25.227444",38000,496,239
1484705458,2017-01-18T02:10:58Z,BAW32,"58.74115,25.45479",37975,495,239
1484705395,2017-01-18T02:09:55Z,BAW32,"58.815033,25.696667",38000,496,239
1484705334,2017-01-18T02:08:54Z,BAW32,"58.884705,25.927368",38000,493,239
1484705271,2017-01-18T02:07:51Z,BAW32,"58.956802,26.168701",38000,490,240
1484705210,2017-01-18T02:06:50Z,BAW32,"59.024189,26.396643",38025,491,240
1484705147,2017-01-18T02:05:47Z,BAW32,"59.095692,26.640804",38000,491,240
1484705086,2017-01-18T02:04:46Z,BAW32,"59.163483,26.874664",38000,492,240
1484705023,2017-01-18T02:03:43Z,BAW32,"59.233429,27.118835",38000,486,240
1484704962,2017-01-18T02:02:42Z,BAW32,"59.298798,27.349516",38000,488,240
1484704901,2017-01-18T02:01:41Z,BAW32,"59.358032,27.589325",38000,486,249
1484704838,2017-01-18T02:00:38Z,BAW32,"59.408615,27.850616",38000,487,249
1484704777,2017-01-18T01:59:37Z,BAW32,"59.455399,28.101929",38000,480,254
1484704715,2017-01-18T01:58:35Z,BAW32,"59.48378,28.367798",38000,474,258
1484704654,2017-01-18T01:57:34Z,BAW32,"59.509171,28.623837",38000,475,259
1484704591,2017-01-18T01:56:31Z,BAW32,"59.535233,28.895325",38000,474,259
1484704527,2017-01-18T01:55:27Z,BAW32,"59.560188,29.160841",38000,472,259
1484704466,2017-01-18T01:54:26Z,BAW32,"59.583801,29.41745",38000,473,259
1484704403,2017-01-18T01:53:23Z,BAW32,"59.607952,29.687237",38000,474,260
1484704339,2017-01-18T01:52:19Z,BAW32,"59.631649,29.957254",38000,473,260
1484704276,2017-01-18T01:51:16Z,BAW32,"59.654526,30.225586",38000,472,260
1484704212,2017-01-18T01:50:12Z,BAW32,"59.677177,30.4953",38000,470,260
1484704151,2017-01-18T01:49:11Z,BAW32,"59.698059,30.750275",38000,467,260
1484704088,2017-01-18T01:48:08Z,BAW32,"59.719574,31.020905",38000,464,261
1484704027,2017-01-18T01:47:07Z,BAW32,"59.73909,31.272394",38000,462,261
1484703964,2017-01-18T01:46:04Z,BAW32,"59.759525,31.541937",38000,463,261
1484703903,2017-01-18T01:45:03Z,BAW32,"59.777729,31.790739",38000,465,261
1484703840,2017-01-18T01:44:00Z,BAW32,"59.796936,32.058472",38000,468,261
1484703779,2017-01-18T01:42:59Z,BAW32,"59.814926,32.314636",38000,468,263
1484703717,2017-01-18T01:41:57Z,BAW32,"59.829819,32.579105",38000,469,263
1484703656,2017-01-18T01:40:56Z,BAW32,"59.844254,32.844387",38000,471,264
1484703595,2017-01-18T01:39:55Z,BAW32,"59.857681,33.104919",38000,470,264
1484703531,2017-01-18T01:38:51Z,BAW32,"59.871532,33.379116",38000,468,264
1484703470,2017-01-18T01:37:50Z,BAW32,"59.884369,33.647461",38000,465,264
1484703408,2017-01-18T01:36:48Z,BAW32,"59.896042,33.902618",38000,468,264
1484703347,2017-01-18T01:35:47Z,BAW32,"59.907658,34.165302",38000,465,265
1484703286,2017-01-18T01:34:46Z,BAW32,"59.918518,34.426208",38000,463,265
1484703225,2017-01-18T01:33:45Z,BAW32,"59.929184,34.692444",38000,463,265
1484703161,2017-01-18T01:32:41Z,BAW32,"59.939117,34.954376",38000,464,265
1484703099,2017-01-18T01:31:39Z,BAW32,"59.94841,35.214569",38000,465,265
1484703037,2017-01-18T01:30:37Z,BAW32,"59.957375,35.480247",38000,467,266
1484702948,2017-01-18T01:29:08Z,BAW32,"59.970596,35.873695",38000,469,264
1484702905,2017-01-18T01:28:25Z,BAW32,"59.979309,36.049171",38000,468,264
1484702844,2017-01-18T01:27:24Z,BAW32,"59.987228,36.310192",38000,468,266
1484702783,2017-01-18T01:26:23Z,BAW32,"59.993958,36.573486",38000,468,267
1484702720,2017-01-18T01:25:20Z,BAW32,"60.00032,36.847767",38000,468,267
